sharpe,return_annual,volatility,max_dd,calmar,profit_factor,trades,win_rate,max_losing_streak,t_stat,significant,total_return,cost_total,symbol,strategy,status
0.312,0.084,0.27,-0.42,0.2,1.12,96.0,0.423,7.0,0.31,False,0.175,0.2208,2382.HK,mean_reversion,ok
-0.596,-0.307,0.515,-0.819,-0.374,0.9,57.0,0.469,9.0,-1.09,False,-0.777,0.2599,2382.HK,momentum,ok
-1.3,-0.34,0.261,-0.773,-0.44,0.63,226.0,0.261,6.0,-1.43,False,-0.721,0.5198,2382.HK,breakout,ok
0.314,0.064,0.204,-0.294,0.218,1.16,74.0,0.415,5.0,0.24,False,0.156,0.1702,2382.HK,rsi_reversal,ok
-1.003,-0.488,0.487,-0.91,-0.537,0.83,167.0,0.432,12.0,-1.75,False,-0.875,0.5336,2382.HK,multifactor,ok
-0.039,-0.006,0.167,-0.286,-0.022,0.98,100.0,0.366,5.0,-0.03,False,-0.067,0.23,2382.HK,bollinger,ok
-0.413,-0.128,0.309,-0.602,-0.212,0.86,111.0,0.419,5.0,-0.43,False,-0.456,0.2553,0285.HK,mean_reversion,ok
-0.014,-0.007,0.503,-0.611,-0.012,1.0,55.0,0.471,8.0,-0.03,False,-0.362,0.2507,0285.HK,momentum,ok
0.284,0.082,0.288,-0.306,0.267,1.12,175.0,0.333,6.0,0.29,False,0.153,0.4025,0285.HK,breakout,ok
-0.58,-0.151,0.261,-0.528,-0.286,0.75,65.0,0.404,4.0,-0.46,False,-0.473,0.1495,0285.HK,rsi_reversal,ok
0.244,0.116,0.475,-0.588,0.197,1.05,154.0,0.448,9.0,0.43,False,0.017,0.4807,0285.HK,multifactor,ok
0.22,0.045,0.204,-0.25,0.179,1.12,110.0,0.361,4.0,0.17,False,0.083,0.253,0285.HK,bollinger,ok
,,,,,,,,,,,,,6855.HK,N/A,fetch error: 500 Server Error: Internal Server Error 
0.463,0.11,0.237,-0.422,0.261,1.19,110.0,0.392,5.0,0.43,False,0.322,0.253,9618.HK,mean_reversion,ok
-0.589,-0.268,0.456,-0.811,-0.331,0.9,56.0,0.487,6.0,-1.07,False,-0.719,0.2553,9618.HK,momentum,ok
-0.205,-0.054,0.262,-0.469,-0.114,0.93,184.0,0.34,5.0,-0.22,False,-0.258,0.4232,9618.HK,breakout,ok
0.144,0.029,0.2,-0.424,0.068,1.07,64.0,0.367,5.0,0.1,False,0.03,0.1472,9618.HK,rsi_reversal,ok
-1.241,-0.514,0.414,-0.9,-0.571,0.79,188.0,0.441,9.0,-2.18,True,-0.872,0.5957,9618.HK,multifactor,ok
-0.776,-0.15,0.193,-0.535,-0.28,0.65,88.0,0.265,8.0,-0.57,False,-0.438,0.2024,9618.HK,bollinger,ok
0.258,0.047,0.18,-0.233,0.2,1.1,124.0,0.382,6.0,0.25,False,0.11,0.2852,9999.HK,mean_reversion,ok
-0.807,-0.329,0.408,-0.797,-0.413,0.86,57.0,0.48,13.0,-1.47,False,-0.755,0.2599,9999.HK,momentum,ok
-2.181,-0.419,0.192,-0.785,-0.534,0.46,218.0,0.254,8.0,-2.36,True,-0.775,0.5014,9999.HK,breakout,ok
0.402,0.051,0.128,-0.145,0.354,1.27,64.0,0.414,5.0,0.27,False,0.159,0.1472,9999.HK,rsi_reversal,ok
-1.278,-0.493,0.386,-0.88,-0.56,0.78,178.0,0.45,12.0,-2.26,True,-0.857,0.6049,9999.HK,multifactor,ok
0.574,0.086,0.15,-0.213,0.404,1.38,86.0,0.35,7.0,0.4,False,0.29,0.1978,9999.HK,bollinger,ok
-0.196,-0.054,0.278,-0.487,-0.112,0.93,110.0,0.388,5.0,-0.2,False,-0.273,0.253,6618.HK,mean_reversion,ok
0.297,0.152,0.511,-0.531,0.286,1.05,49.0,0.517,9.0,0.54,False,0.074,0.2231,6618.HK,momentum,ok
-1.469,-0.386,0.263,-0.766,-0.504,0.62,233.0,0.289,4.0,-1.66,False,-0.763,0.5359,6618.HK,breakout,ok
-0.227,-0.049,0.214,-0.354,-0.137,0.9,62.0,0.373,5.0,-0.17,False,-0.217,0.1426,6618.HK,rsi_reversal,ok
0.627,0.301,0.48,-0.526,0.573,1.12,149.0,0.488,8.0,1.1,False,0.884,0.4347,6618.HK,multifactor,ok
-0.086,-0.018,0.207,-0.318,-0.056,0.96,103.0,0.317,6.0,-0.06,False,-0.126,0.2369,6618.HK,bollinger,ok
-0.449,-0.09,0.2,-0.397,-0.227,0.85,88.0,0.389,6.0,-0.44,False,-0.314,0.2024,9961.HK,mean_reversion,ok
-0.386,-0.157,0.407,-0.671,-0.234,0.93,66.0,0.486,8.0,-0.7,False,-0.56,0.3013,9961.HK,momentum,ok
-1.412,-0.274,0.194,-0.645,-0.425,0.6,194.0,0.276,7.0,-1.49,False,-0.633,0.4462,9961.HK,breakout,ok
-0.587,-0.093,0.158,-0.346,-0.268,0.75,72.0,0.354,4.0,-0.45,False,-0.302,0.1656,9961.HK,rsi_reversal,ok
