symbol,strategy,sharpe,return,max_dd,win_rate,trades,bnh_sharpe,bnh_return,bnh_dd,alpha
2319.HK,放量+南北水,-0.429,-0.293,-0.455,0.398,93,-0.398,-0.514,-0.678,-0.031
2899.HK,南北水流入,0.418,0.481,-0.363,0.461,152,0.94,2.138,-0.369,-0.522
2899.HK,南北水動量,0.156,0.11,-0.524,0.491,106,0.94,2.138,-0.369,-0.785
2899.HK,放量+南北水,0.243,0.226,-0.297,0.453,95,0.94,2.138,-0.369,-0.697
3968.HK,南北水流入,-0.194,-0.204,-0.435,0.439,148,0.314,0.311,-0.513,-0.508
3968.HK,南北水動量,-0.598,-0.395,-0.442,0.453,106,0.314,0.311,-0.513,-0.912
3968.HK,放量+南北水,-0.328,-0.144,-0.296,0.46,87,0.314,0.311,-0.513,-0.641
9618.HK,南北水流入,-0.569,-0.595,-0.657,0.417,151,-0.317,-0.532,-0.671,-0.252
9618.HK,南北水動量,-0.843,-0.621,-0.66,0.425,106,-0.317,-0.532,-0.671,-0.526
9618.HK,放量+南北水,-0.206,-0.183,-0.417,0.435,85,-0.317,-0.532,-0.671,0.111
