date,mutual_type,type_name,net_buy,buy,sell,total,fund_inflow,quota_balance,accum_buy
2015-01-27,5,合計,903.35,2702.14,1798.79,4500.93,1137.0,11863.0,77744.82
2015-01-27,6,006,876.94,1248.56,371.62,1620.18,-9609.0,9609.0,27580.58
2015-01-28,1,北向_滬股通,1141.92,2302.97,1161.05,3464.02,1832.0,11168.0,78886.74
2015-01-28,2,南向_港股通滬,284.84,706.39,421.55,1127.94,-10132.0,10132.0,27865.42
2015-01-28,5,合計,1141.92,2302.97,1161.05,3464.02,1832.0,11168.0,78886.74
2015-01-28,6,006,284.84,706.39,421.55,1127.94,-10132.0,10132.0,27865.42
2015-01-29,1,北向_滬股通,975.46,3275.13,2299.67,5574.8,2886.0,10114.0,79862.2
2015-01-29,2,南向_港股通滬,575.88,862.6,286.72,1149.32,-9924.0,9924.0,28441.3
2015-01-29,5,合計,975.46,3275.13,2299.67,5574.8,2886.0,10114.0,79862.2
2015-01-29,6,006,575.88,862.6,286.72,1149.32,-9924.0,9924.0,28441.3
2015-01-30,1,北向_滬股通,29.59,1751.68,1722.09,3473.77,1816.0,11184.0,79891.79
2015-01-30,2,南向_港股通滬,508.21,845.28,337.07,1182.35,-9985.0,9985.0,28949.51
2015-01-30,5,合計,29.59,1751.68,1722.09,3473.77,1816.0,11184.0,79891.79
2015-01-30,6,006,508.21,845.28,337.07,1182.35,-9985.0,9985.0,28949.51
2015-02-02,1,北向_滬股通,178.46,2411.53,2233.07,4644.6,2336.12,10663.88,80070.25
2015-02-02,2,南向_港股通滬,440.89,729.6,288.71,1018.31,-10040.0,10040.0,29390.4
2015-02-02,5,合計,178.46,2411.53,2233.07,4644.6,2336.12,10663.88,80070.25
2015-02-02,6,006,440.89,729.6,288.71,1018.31,-10040.0,10040.0,29390.4
2015-02-03,1,北向_滬股通,2700.0,3679.81,979.81,4659.62,4958.0,8042.0,82770.25
2015-02-03,2,南向_港股通滬,213.43,473.82,260.39,734.21,-10237.0,10237.0,29603.83
2015-02-03,5,合計,2700.0,3679.81,979.81,4659.62,4958.0,8042.0,82770.25
