strategy,params,total_return,sharpe,trades,win_rate
RSI,"(5, 30, 75)",-0.23352603588012164,-8.875232702784807,8,0.375
RSI,"(5, 30, 80)",-0.11633995854854891,-9.353901933292281,6,0.3333333333333333
RSI,"(5, 30, 70)",-0.2978498405938403,-9.714660019039043,11,0.36363636363636365
RSI,"(5, 20, 70)",-0.16231608739973077,-9.82326223823817,6,0.3333333333333333
RSI,"(5, 20, 75)",-0.13820349809283655,-10.018908437950662,4,0.25
RSI,"(5, 30, 65)",-0.3376364279930831,-10.963194675354297,12,0.25
RSI,"(5, 20, 65)",-0.18878231583544466,-11.076427415103892,6,0.3333333333333333
RSI,"(5, 35, 75)",-0.32544748985648886,-11.35413711256559,9,0.3333333333333333
RSI,"(5, 35, 70)",-0.43048474669730974,-11.949842041015135,13,0.3076923076923077
RSI,"(5, 35, 65)",-0.46969284883175877,-12.702176696391904,14,0.2857142857142857
RSI,"(10, 25, 65)",-0.14515858993061548,-15.729824730388469,3,0.0
RSI,"(10, 30, 65)",-0.11731828747750508,-17.38391537776367,3,0.0
RSI,"(5, 15, 70)",-0.18442519129848559,-17.815077662544212,4,0.25
RSI,"(10, 25, 70)",-0.09867479448399165,-19.391525378739455,3,0.0
RSI,"(5, 15, 65)",-0.2108914197341995,-20.894831575043952,4,0.25
RSI,"(10, 30, 70)",-0.06936817849998471,-27.959305952008222,3,0.0
RSI,"(5, 15, 75)",-0.18385567200588007,-28.85179881946462,3,0.0
RSI,"(5, 15, 80)",-0.06669832573714275,-40.1542051727154,3,0.0
RSI,"(18, 15, 65)",-0.008207916914740102,-13029664.162969714,1,0.0
RSI,"(18, 20, 65)",-0.008832747347153095,-14021551.724419551,1,0.0
RSI,"(18, 25, 65)",-0.008832747347153095,-14021551.724419551,1,0.0
RSI,"(18, 30, 65)",-0.008832747347153095,-14021551.724419551,1,0.0
RSI,"(14, 20, 70)",-0.02018204867997744,-32038009.05301182,1,0.0
RSI,"(21, 15, 65)",-0.02018204867997744,-32038009.05301182,1,0.0
RSI,"(10, 20, 70)",-0.041036400742469475,-65143266.63945634,1,0.0
RSI,"(14, 25, 65)",-0.04164054918306647,-66102322.55672861,1,0.0
RSI,"(14, 20, 65)",-0.0709471651670734,-112625133.15426031,1,0.0
RSI,"(10, 20, 65)",-0.08901673740078388,-141309689.8108898,1,0.0
