timestamp,cpu_percent,memory_percent
1763779957.3332233,5.9,27.2
1763779958.345334,6.1,27.1
1763779959.348021,6.0,27.1
1763779960.3496604,5.8,27.1
1763779961.3591263,6.4,27.2
1763779962.3613374,7.3,27.2
1763779963.3642821,5.7,27.2
1763779964.3756366,5.8,27.2
1763779965.3790717,6.5,27.2
1763779966.3832407,5.9,27.2
1763779967.3879974,5.6,27.2
1763779968.394342,7.3,27.2
1763779969.397596,8.0,27.2
1763779970.4036627,8.2,27.2
1763779971.4066563,5.4,27.2
1763779972.4083943,5.6,27.2
1763779973.412861,6.3,27.2
1763779974.4150777,5.3,27.2
1763779975.4235988,6.0,27.2
1763779976.4278934,5.9,27.2
1763779977.4298146,5.6,27.2
1763779978.430752,6.1,27.2
1763779979.4413726,7.8,27.2
1763779980.4485965,7.9,27.2
1763779981.4496338,6.1,27.1
1763779982.450771,6.8,27.1
1763779983.459898,5.0,27.1
1763779984.4705675,6.1,27.1
1763779985.4716997,7.6,27.1
1763779986.4784482,10.3,27.1
1763779987.4901977,7.3,27.1
1763779988.4975777,6.1,27.1
1763779989.5015566,5.9,27.1
1763779990.5048466,5.6,27.1
1763779991.5160484,6.0,27.1
1763779992.5194798,7.5,27.1
1763779993.520238,6.2,27.1
1763779994.522018,5.9,27.1
1763779995.527945,5.4,27.1
1763779996.5326126,8.1,27.1
1763779997.5368736,5.5,27.1
1763779998.53789,5.8,27.2
1763779999.5425808,6.1,27.2
1763780000.5480833,7.0,27.2
1763780001.5522137,5.5,27.2
1763780002.5605514,5.5,27.2
1763780003.5629654,5.5,27.2
1763780004.5639226,6.2,27.2
1763780005.5655167,4.9,27.2
1763780006.567701,4.9,27.2
1763780007.5704372,5.4,27.2
1763780008.5765772,5.9,27.1
1763780009.5812607,6.0,27.1
1763780010.5920997,8.5,27.1
1763780011.5978231,5.4,27.1
1763780012.5987022,5.5,27.1
1763780013.6097565,6.1,27.1
1763780014.6141076,9.7,27.2
1763780015.6173372,7.9,27.2
1763780016.619497,7.3,27.2
1763780017.6202583,5.3,27.2
1763780018.621637,6.6,27.2
1763780019.622547,7.6,27.2
1763780020.6233711,6.2,27.2
1763780021.6274722,5.9,27.2
1763780022.6322584,6.2,27.2
1763780023.6339655,6.3,27.2
1763780024.6347892,6.0,27.2
1763780025.6366413,6.3,27.2
1763780026.6380992,5.5,27.2
1763780027.645952,6.4,27.2
1763780028.6479447,6.3,27.2
1763780029.6517985,5.3,27.2
1763780030.6560035,6.7,27.2
1763780031.6585686,6.4,27.2
1763780032.6666365,5.9,27.2
1763780033.672234,6.6,27.2
1763780034.680625,8.1,27.2
1763780035.6820254,7.8,27.2
1763780036.6923776,7.0,27.2
1763780037.6987298,5.4,27.2
1763780038.6992884,4.6,27.2
