end_of_date,Unnamed: 0,cert_of_indebt,gov_notes_coins_circulation,aggr_balance_bf_disc_win,aggr_balance_af_disc_win,outstanding_efbn,ow_lb_bf_disc_win,ow_lb_af_disc_win,mb_bf_disc_win_total
2023-07-26,576.0,588155.0,13078.0,44692.0,44692.0,1220866.0,1161620.0,1161620.0,1866791.0
2023-07-27,575.0,593215.0,13078.0,44692.0,45520.0,1220781.0,1161380.0,1160539.0,1871766.0
2023-07-28,574.0,592495.0,13080.0,44692.0,44692.0,1220956.0,1161144.0,1161144.0,1871223.0
2023-07-29,574.0,592495.0,13080.0,44692.0,44692.0,1220956.0,1161144.0,1161144.0,1871223.0
2023-07-30,574.0,592495.0,13080.0,44692.0,44692.0,1220956.0,1161144.0,1161144.0,1871223.0
2023-07-31,573.0,590195.0,13080.0,44692.0,44692.0,1221376.0,1162986.0,1162986.0,1869343.0
2023-08-01,572.0,589075.0,13082.0,44692.0,44692.0,1221485.0,1162588.0,1162588.0,1868334.0
2023-08-02,571.0,587665.0,13076.0,44974.0,44974.0,1221261.0,1165696.0,1165696.0,1866976.0
2023-08-03,570.0,586795.0,13078.0,44974.0,44974.0,1221508.0,1166047.0,1166047.0,1866355.0
2023-08-04,569.0,591375.0,13078.0,44974.0,44974.0,1221805.0,1162638.0,1162638.0,1871232.0
2023-08-05,569.0,591375.0,13078.0,44974.0,44974.0,1221805.0,1162638.0,1162638.0,1871232.0
2023-08-06,569.0,591375.0,13078.0,44974.0,44974.0,1221805.0,1162638.0,1162638.0,1871232.0
2023-08-07,568.0,588705.0,13078.0,44974.0,44974.0,1222262.0,1162258.0,1162258.0,1869019.0
2023-08-08,567.0,586765.0,13078.0,44974.0,44974.0,1222451.0,1162536.0,1162536.0,1867268.0
2023-08-09,566.0,585065.0,13078.0,44766.0,44766.0,1222998.0,1163710.0,1163710.0,1865907.0
2023-08-10,565.0,584785.0,13075.0,44766.0,44772.0,1223252.0,1163646.0,1163640.0,1865878.0
2023-08-11,564.0,588865.0,13073.0,44766.0,44766.0,1223350.0,1162953.0,1162953.0,1870054.0
2023-08-12,564.0,588865.0,13073.0,44766.0,44766.0,1223350.0,1162953.0,1162953.0,1870054.0
2023-08-13,564.0,588865.0,13073.0,44766.0,44766.0,1223350.0,1162953.0,1162953.0,1870054.0
2023-08-14,563.0,586585.0,13073.0,44766.0,44766.0,1223709.0,1162974.0,1162974.0,1868133.0
2023-08-15,562.0,584625.0,13072.0,44766.0,44766.0,1224096.0,1163054.0,1163054.0,1866559.0
2023-08-16,561.0,583425.0,13072.0,45014.0,45039.0,1224134.0,1165904.0,1165880.0,1865645.0
2023-08-17,560.0,583045.0,13072.0,45014.0,45014.0,1224376.0,1164079.0,1164079.0,1865507.0
2023-08-18,559.0,586125.0,13072.0,45014.0,45014.0,1224442.0,1165287.0,1165287.0,1868653.0
2023-08-19,559.0,586125.0,13072.0,45014.0,45014.0,1224442.0,1165287.0,1165287.0,1868653.0
2023-08-20,559.0,586125.0,13072.0,45014.0,45014.0,1224442.0,1165287.0,1165287.0,1868653.0
2023-08-21,558.0,584885.0,13072.0,45049.0,45049.0,1224947.0,1165669.0,1165669.0,1867953.0
2023-08-22,557.0,583105.0,13072.0,45107.0,45107.0,1225354.0,1166071.0,1166071.0,1866638.0
2023-08-23,556.0,581915.0,13072.0,44810.0,44810.0,1226085.0,1167281.0,1167281.0,1865882.0
2023-08-24,555.0,582115.0,13074.0,44829.0,48782.0,1226684.0,1167057.0,1163097.0,1866702.0
2023-08-25,554.0,586305.0,13074.0,44840.0,44840.0,1226861.0,1166821.0,1166821.0,1871080.0
2023-08-26,554.0,586305.0,13074.0,44840.0,44840.0,1226861.0,1166821.0,1166821.0,1871080.0
2023-08-27,554.0,586305.0,13074.0,44840.0,44840.0,1226861.0,1166821.0,1166821.0,1871080.0
2023-08-28,553.0,584475.0,13074.0,44889.0,44889.0,1227280.0,1167514.0,1167514.0,1869718.0
2023-08-29,552.0,583465.0,13074.0,44889.0,44889.0,1227410.0,1167351.0,1167351.0,1868838.0
2023-08-30,551.0,586085.0,13072.0,44872.0,44872.0,1227963.0,1168357.0,1168357.0,1871992.0
2023-08-31,550.0,590265.0,13072.0,44872.0,44872.0,1228049.0,1166258.0,1166258.0,1876258.0
2023-09-01,549.0,590265.0,13072.0,44872.0,47272.0,1228161.0,1166471.0,1164062.0,1876370.0
2023-09-02,549.0,590265.0,13072.0,44872.0,47272.0,1228161.0,1166471.0,1164062.0,1876370.0
2023-09-03,549.0,590265.0,13072.0,44872.0,47272.0,1228161.0,1166471.0,1164062.0,1876370.0
