,end_of_date,cu_weakside,cu_strongside,disc_win_base_rate,hibor_overnight,hibor_fixing_1m,twi,opening_balance,closing_balance,market_activities,interest_payment,discount_window_reversal,discount_window_activities,intraday_movements_of_aggregate_balance_at_0930,intraday_movements_of_aggregate_balance_at_1000,intraday_movements_of_aggregate_balance_at_1100,intraday_movements_of_aggregate_balance_at_1200,intraday_movements_of_aggregate_balance_at_1500,intraday_movements_of_aggregate_balance_at_1600,forex_trans_t1,other_market_activities_t1,reversal_of_discount_window_t1,interest_payment_issuance_efbn_t1,forecast_aggregate_bal_t1,forex_trans_t2,other_market_activities_t2,reversal_of_discount_window_t2,interest_payment_issuance_efbn_t2,forecast_aggregate_bal_t2,forex_trans_t3,other_market_activities_t3,reversal_of_discount_window_t3,interest_payment_issuance_efbn_t3,forecast_aggregate_bal_t3,forex_trans_t4,other_market_activities_t4,reversal_of_discount_window_t4,interest_payment_issuance_efbn_t4,forecast_aggregate_bal_t4,forex_trans_u,other_market_activities_u,reversal_of_discount_window_u,interest_payment_issuance_efbn_u,forecast_aggregate_bal_u
758,2022-10-27,7.85,7.75,3.5,1.99,3.08125,106.3,100151,100151,0,0,0,0,136917,151575,161475,185030,188681.0,190133.0,0,0,0,0,100151,0,0,0,0,100151,0,0,0,0,100151,,,,,,0,0,0,-786,99365
759,2022-10-26,7.85,7.75,3.5,1.82,3.0806,106.8,100166,100151,0,-15,0,0,134338,145437,154938,148742,161839.0,166675.0,0,0,0,0,100151,0,0,0,0,100151,0,0,0,0,100151,,,,,,0,0,0,-786,99365
760,2022-10-25,7.85,7.75,3.5,1.76,3.06566,107.6,100166,100166,0,0,0,0,135362,144816,159819,168629,181385.0,182324.0,0,0,0,-15,100151,0,0,0,0,100151,0,0,0,0,100151,,,,,,0,0,0,-786,99365
761,2022-10-24,7.85,7.75,3.5,1.75,3.01685,107.1,100166,100166,0,0,0,0,122748,133072,147650,168119,188532.0,189993.0,0,0,0,0,100166,0,0,0,-33,100133,0,0,0,0,100133,,,,,,0,0,0,-768,99365
762,2022-10-21,7.85,7.75,3.5,1.9,2.95643,107.2,103228,100166,-3062,0,0,0,134994,147213,159237,176490,185224.0,185923.0,0,0,0,0,100166,0,0,0,0,100166,0,0,0,-33,100133,,,,,,0,0,0,-768,99365
763,2022-10-20,7.85,7.75,3.5,1.81,2.84792,107.0,103228,103228,0,0,0,0,126264,148468,161938,177691,188613.0,189251.0,-3062,0,0,0,100166,0,0,0,0,100166,0,0,0,0,100166,,,,,,0,0,0,-801,99365
764,2022-10-19,7.85,7.75,3.5,1.78,2.73214,106.8,104014,103228,-785,-2,0,0,139694,153927,175971,173275,179678.0,183213.0,0,0,0,0,103228,-3062,0,0,0,100166,0,0,0,0,100166,,,,,,0,0,0,-801,99365
765,2022-10-18,7.85,7.75,3.5,1.68,2.63316,106.4,106605,104014,-2591,0,0,0,131446,142737,158456,165801,166948.0,168618.0,-785,0,0,-2,103228,0,0,0,0,103228,0,0,0,0,103228,,,,,,0,0,0,-801,102427
766,2022-10-17,7.85,7.75,3.5,1.63,2.56619,106.6,106605,106605,0,0,0,0,131390,142542,164633,179450,183487.0,185053.0,-2591,0,0,0,104014,-785,0,0,-18,103211,0,0,0,0,103211,,,,,,0,0,0,-785,102427
767,2022-10-14,7.85,7.75,3.5,1.59,2.51613,106.3,118321,106605,-11697,0,-20,0,145251,152031,166558,190850,186716.0,188418.0,0,0,0,0,106605,-2591,0,0,0,104014,0,0,0,-18,103996,,,,,,0,0,0,-785,103212
768,2022-10-13,7.85,7.75,3.5,1.58,2.47125,106.5,120463,118321,-1021,0,-1141,20,148795,158112,184695,186747,187140.0,188150.0,-11697,0,-20,0,106605,0,0,0,0,106605,0,0,0,0,106605,,,,,,0,0,0,-803,105802
769,2022-10-12,7.85,7.75,3.5,1.6,2.42988,106.2,119324,120463,0,-3,0,1141,147008,156278,181730,143164,161965.0,166835.0,-1021,0,-1141,0,118301,-11697,0,0,0,106605,0,0,0,0,106605,,,,,,0,0,0,-803,105802
770,2022-10-11,7.85,7.75,3.5,1.56,2.3981,106.4,120894,119324,-1570,0,0,0,152414,162173,181510,200763,215927.0,216583.0,0,0,0,-3,119322,-1021,0,0,0,118301,0,0,0,0,118301,,,,,,0,0,0,-803,117499
771,2022-10-10,7.85,7.75,3.5,1.2,2.42048,105.8,120900,120894,0,0,-5,0,144500,150811,155265,156414,164040.0,164859.0,-1570,0,0,0,119324,0,0,0,-20,119304,0,0,0,0,119304,,,,,,0,0,0,-785,118519
772,2022-10-07,7.85,7.75,3.5,1.05,2.44637,105.5,120894,120900,0,0,0,5,144772,159337,171380,184983,192630.0,193760.0,0,0,-5,0,120894,-1570,0,0,0,119324,0,0,0,-20,119304,,,,,,0,0,0,-785,118519
773,2022-10-06,7.85,7.75,3.5,1.06,2.48363,104.7,123249,120894,-2355,0,0,0,154715,168010,186428,207530,220720.0,215532.0,0,0,0,0,120894,0,0,0,0,120894,0,0,0,0,120894,,,,,,0,0,0,-805,120089
774,2022-10-05,7.85,7.75,3.5,1.16,2.51964,104.6,123336,123249,0,-87,0,0,159345,163884,170710,157854,174204.0,177498.0,-2355,0,0,0,120894,0,0,0,0,120894,0,0,0,0,120894,0,0,0,0,120894.0,0,0,0,-805,120089
775,2022-10-03,7.85,7.75,3.5,1.68,2.5822,105.9,123336,123336,0,0,0,0,159716,168623,191433,202203,202569.0,203904.0,0,0,0,-87,123249,-2355,0,0,0,120894,0,0,0,0,120894,,,,,,0,0,0,-805,120089
776,2022-09-30,7.85,7.75,3.5,2.2,2.61607,105.3,123336,123336,0,0,0,0,144517,154210,170381,192348,202644.0,204727.0,0,0,0,0,123336,0,0,0,-143,123194,0,0,0,0,123194,,,,,,0,0,0,-750,122444
777,2022-09-29,7.85,7.75,3.5,1.65,2.62768,106.5,125275,123336,-1939,0,0,0,170079,193558,213264,233360,247166.0,247820.0,0,0,0,0,123336,0,0,0,0,123336,0,0,0,-143,123194,,,,,,0,0,0,-750,122444
778,2022-09-28,7.85,7.75,3.5,1.5,2.60881,106.9,124930,125275,0,346,0,0,150438,162725,187740,156662,180914.0,181828.0,-1939,0,0,0,123336,0,0,0,0,123336,0,0,0,0,123336,,,,,,0,0,0,-892,122444
779,2022-09-27,7.85,7.75,3.5,1.33,2.60988,106.0,124930,124930,0,0,0,0,166063,179657,193002,211149,224263.0,226645.0,0,0,0,346,125275,-1939,0,0,0,123336,0,0,0,0,123336,,,,,,0,0,0,-892,122444
780,2022-09-26,7.85,7.75,3.5,1.33,2.6106,105.9,124930,124930,0,0,0,0,148961,162730,188141,207057,225547.0,225909.0,0,0,0,0,124930,0,0,0,307,125237,0,0,0,0,125237,,,,,,0,0,0,-854,124383
781,2022-09-23,7.85,7.75,3.5,1.29,2.60952,105.1,124930,124930,0,0,0,0,153547,166201,194360,203945,214486.0,214684.0,0,0,0,0,124930,0,0,0,0,124930,0,0,0,307,125237,,,,,,0,0,0,-854,124383
782,2022-09-22,7.85,7.75,3.5,1.41,2.60583,105.1,124930,124930,0,0,0,0,145630,152959,167917,184343,192848.0,197250.0,0,0,0,0,124930,0,0,0,0,124930,0,0,0,0,124930,,,,,,0,0,0,-547,124383
783,2022-09-21,7.85,7.75,2.75,1.05,2.59488,104.5,124890,124930,0,51,-11,0,155667,165970,186316,159983,183050.0,183821.0,0,0,0,0,124930,0,0,0,0,124930,0,0,0,0,124930,,,,,,0,0,0,-547,124383
784,2022-09-20,7.85,7.75,2.75,1.03,2.54685,104.0,124879,124890,0,0,0,11,160529,167061,191487,200442,206824.0,206890.0,0,0,-11,51,124930,0,0,0,0,124930,0,0,0,0,124930,,,,,,0,0,0,-547,124383
785,2022-09-19,7.85,7.75,2.75,1.18,2.44625,104.1,124879,124879,0,0,0,0,158474,166170,182616,206308,223990.0,226205.0,0,0,0,0,124879,0,0,0,24,124903,0,0,0,0,124903,,,,,,0,0,0,-520,124383
786,2022-09-16,7.85,7.75,2.75,1.28,2.35982,104.1,125264,124879,0,0,-385,0,149845,158072,185366,199713,216093.0,220153.0,0,0,0,0,124879,0,0,0,0,124879,0,0,0,24,124903,,,,,,0,0,0,-520,124383
787,2022-09-15,7.85,7.75,2.75,1.51,2.17661,103.7,124879,125264,0,0,0,385,153060,160413,182098,202418,206635.0,206711.0,0,0,-385,0,124879,0,0,0,0,124879,0,0,0,0,124879,,,,,,0,0,0,-496,124383
788,2022-09-14,7.85,7.75,2.75,1.45,2.09071,103.7,124923,124879,0,-44,0,0,196145,209369,241106,186027,190403.0,192485.0,0,0,0,0,124879,0,0,0,0,124879,0,0,0,0,124879,,,,,,0,0,0,-496,124383
789,2022-09-13,7.85,7.75,2.75,1.18,2.06494,102.9,124923,124923,0,0,0,0,180330,181349,211677,231072,235842.0,241247.0,0,0,0,-44,124879,0,0,0,0,124879,0,0,0,0,124879,,,,,,0,0,0,-496,124383
790,2022-09-09,7.85,7.75,2.75,0.97,2.00816,102.9,124923,124923,0,0,0,0,161461,175037,201412,225880,232529.0,235659.0,0,0,0,0,124923,0,0,0,-59,124864,0,0,0,0,124864,,,,,,0,0,0,-481,124383
791,2022-09-08,7.85,7.75,2.75,0.9,1.94691,103.3,124925,124923,0,-2,0,0,174837,182626,209168,227136,231529.0,232784.0,0,0,0,0,124923,0,0,0,0,124923,0,0,0,-59,124864,,,,,,0,0,0,-481,124383
792,2022-09-07,7.85,7.75,2.75,0.92,1.91024,103.6,125015,124925,0,-90,0,0,151069,162178,185847,169577,180163.0,181268.0,0,0,0,-2,124923,0,0,0,0,124923,0,0,0,0,124923,,,,,,0,0,0,-540,124383
793,2022-09-06,7.85,7.75,2.75,0.98,1.92946,103.1,125015,125015,0,0,0,0,148750,160303,184967,203662,209131.0,209987.0,0,0,0,-90,124925,0,0,0,-2,124923,0,0,0,0,124923,,,,,,0,0,0,-540,124383
794,2022-09-05,7.85,7.75,2.75,0.91,1.91036,103.1,125021,125015,0,-5,0,0,144779,145919,153571,156528,160524.0,159464.0,0,0,0,0,125015,0,0,0,-103,124913,0,0,0,-2,124910,,,,,,0,0,0,-527,124383
795,2022-09-02,7.85,7.75,2.75,0.98,1.88024,102.7,125024,125021,0,-3,0,0,156569,169409,199525,209569,216298.0,217004.0,0,0,0,-5,125015,0,0,0,0,125015,0,0,0,-103,124913,,,,,,0,0,0,-530,124383
796,2022-09-01,7.85,7.75,2.75,0.9,1.88887,102.7,125024,125024,0,0,0,0,176449,179741,204644,221246,228667.0,229495.0,0,0,0,-3,125021,0,0,0,-5,125015,0,0,0,0,125015,,,,,,0,0,0,-632,124383
797,2022-08-31,7.85,7.75,2.75,1.19,1.86542,102.5,124904,125024,0,120,0,0,160774,167662,198638,169193,182062.0,183407.0,0,0,0,0,125024,0,0,0,-3,125021,0,0,0,-5,125015,0,0,0,0,125015.0,0,0,0,-632,124383
798,2022-08-30,7.85,7.75,2.75,0.97,1.8406,102.6,124904,124904,0,0,0,0,173944,182213,198944,209411,216217.0,222722.0,0,0,0,120,125024,0,0,0,0,125024,0,0,0,-3,125021,,,,,,0,0,0,-638,124383
799,2022-08-29,7.85,7.75,2.75,0.79,1.82208,102.7,124875,124904,0,29,0,0,149204,158695,183386,211243,218444.0,220247.0,0,0,0,0,124904,0,0,0,83,124987,0,0,0,0,124987,,,,,,0,0,0,-604,124383
800,2022-08-26,7.85,7.75,2.75,0.93,1.80911,102.1,124871,124875,0,4,0,0,149337,164310,185511,211511,216389.0,216747.0,0,0,0,29,124904,0,0,0,0,124904,0,0,0,83,124987,,,,,,0,0,0,-604,124383
801,2022-08-25,7.85,7.75,2.75,1.0,1.80982,101.9,124865,124871,0,6,0,0,145483,146412,177345,204745,224777.0,223999.0,0,0,0,4,124875,0,0,0,29,124904,0,0,0,0,124904,,,,,,0,0,0,-521,124383
802,2022-08-24,7.85,7.75,2.75,0.89,1.80327,102.2,124994,124865,0,-129,0,0,155425,158213,183742,164626,177510.0,178592.0,0,0,0,6,124871,0,0,0,4,124875,0,0,0,29,124904,,,,,,0,0,0,-521,124383
803,2022-08-23,7.85,7.75,2.75,0.86,1.78137,102.3,124993,124994,0,1,0,0,159789,166709,191744,200233,213454.0,213714.0,0,0,0,-129,124865,0,0,0,6,124871,0,0,0,4,124875,,,,,,0,0,0,-492,124383
804,2022-08-22,7.85,7.75,2.75,0.86,1.79774,101.9,124962,124993,0,31,0,0,160205,173718,195356,211702,231857.0,233735.0,0,0,0,1,124994,0,0,0,-144,124850,0,0,0,6,124856,,,,,,0,0,0,-473,124383
805,2022-08-19,7.85,7.75,2.75,0.94,1.85232,101.5,124962,124962,0,0,0,0,159130,170009,184362,210403,223238.0,224391.0,0,0,0,31,124993,0,0,0,1,124994,0,0,0,-144,124850,,,,,,0,0,0,-467,124383
806,2022-08-18,7.85,7.75,2.75,1.19,1.9,101.3,125497,124962,0,0,-535,0,160153,166234,197059,220202,236011.0,229206.0,0,0,0,0,124962,0,0,0,29,124992,0,0,0,1,124992,,,,,,0,0,0,-609,124383
807,2022-08-17,7.85,7.75,2.75,1.46,1.90143,101.0,124740,125497,0,223,0,535,169690,183983,209537,164590,183709.0,185908.0,0,0,-535,0,124962,0,0,0,0,124962,0,0,0,29,124992,,,,,,0,0,0,-608,124383
808,2022-08-16,7.85,7.75,2.75,1.65,1.87446,101.2,124740,124740,0,0,0,0,154192,163867,194727,202739,226291.0,227732.0,0,0,0,223,124962,0,0,0,0,124962,0,0,0,0,124962,,,,,,0,0,0,-579,124383
809,2022-08-15,7.85,7.75,2.75,1.48,1.71815,100.8,124740,124740,0,0,0,0,159975,168632,196132,212141,216230.0,202014.0,0,0,0,0,124740,0,0,0,185,124924,0,0,0,0,124924,,,,,,0,0,0,-541,124383
810,2022-08-12,7.85,7.75,2.75,1.4,1.68375,100.4,124840,124740,0,0,-100,0,152432,155776,182744,200322,214553.0,216664.0,0,0,0,0,124740,0,0,0,0,124740,0,0,0,185,124924,,,,,,0,0,0,-541,124383
811,2022-08-11,7.85,7.75,2.75,1.35,1.63756,100.2,126231,124840,-1492,0,0,100,167913,174470,202457,218205,224171.0,226058.0,0,0,-100,0,124740,0,0,0,0,124740,0,0,0,0,124740,,,,,,0,0,0,-357,124383
812,2022-08-10,7.85,7.75,2.75,1.26,1.56691,100.7,129293,126231,-2975,-86,0,0,149303,158461,178933,158513,191128.0,192345.0,-1492,0,0,0,124740,0,0,0,0,124740,0,0,0,0,124740,,,,,,0,0,0,-357,124383
813,2022-08-09,7.85,7.75,2.75,1.07,1.54554,100.7,129293,129293,0,0,0,0,154231,162117,174908,191517,199816.0,201047.0,-2975,0,0,-86,126231,-1492,0,0,0,124740,0,0,0,0,124740,,,,,,0,0,0,-357,124383
814,2022-08-08,7.85,7.75,2.75,0.95,1.50804,100.8,129293,129293,0,0,0,0,159229,161525,183186,204661,213929.0,216593.0,0,0,0,0,129293,-2975,0,0,-120,126198,0,0,0,0,126198,,,,,,0,0,0,-323,125875
815,2022-08-05,7.85,7.75,2.75,0.9,1.46149,100.5,143454,129293,-14161,0,0,0,169390,176711,200877,212128,224248.0,210171.0,0,0,0,0,129293,0,0,0,0,129293,0,0,0,-120,129173,,,,,,0,0,0,-323,128850
816,2022-08-04,7.85,7.75,2.75,0.95,1.43458,100.7,144765,143454,-1311,0,0,0,178233,189181,198707,227269,240267.0,243475.0,-14161,0,0,0,129293,0,0,0,0,129293,0,0,0,0,129293,,,,,,0,0,0,-443,128850
817,2022-08-03,7.85,7.75,2.75,0.93,1.30512,100.7,153579,144765,-8941,127,0,0,177902,182781,216042,185016,190957.0,192439.0,-1311,0,0,0,143454,-14161,0,0,0,129293,0,0,0,0,129293,,,,,,0,0,0,-443,128850
818,2022-08-02,7.85,7.75,2.75,0.88,1.28786,100.7,165158,153579,-11579,0,0,0,203685,209319,218401,236681,248260.0,250714.0,-8941,0,0,127,144765,-1311,0,0,0,143454,0,0,0,0,143454,,,,,,0,0,0,-443,143011
819,2022-08-01,7.85,7.75,2.75,0.83,1.31964,100.6,165158,165158,0,0,0,0,211792,221528,237076,256406,265735.0,267482.0,-11579,0,0,0,153579,-8941,0,0,112,144750,0,0,0,0,144750,,,,,,0,0,0,-428,150594
820,2022-07-29,7.85,7.75,2.75,0.83,1.3306,100.4,165158,165158,0,0,0,0,201611,208932,232111,244646,243389.0,247814.0,0,0,0,0,165158,-11579,0,0,0,153579,0,0,0,112,153691,,,,,,0,0,0,-428,155186
821,2022-07-28,7.85,7.75,2.75,0.9,1.38435,100.6,165158,165158,0,0,0,0,199810,207300,225930,243542,243341.0,247215.0,0,0,0,0,165158,0,0,0,0,165158,0,0,0,0,165158,,,,,,0,0,0,-316,164842
822,2022-07-27,7.85,7.75,2.0,0.8,1.30941,101.0,165259,165158,0,-101,0,0,189670,200148,230576,201186,211597.0,212186.0,0,0,0,0,165158,0,0,0,0,165158,0,0,0,0,165158,,,,,,0,0,0,-316,164842
823,2022-07-26,7.85,7.75,2.0,0.76,1.19185,100.8,165259,165259,0,0,0,0,185456,195697,231666,239534,249557.0,252488.0,0,0,0,-101,165158,0,0,0,0,165158,0,0,0,0,165158,,,,,,0,0,0,-316,164842
824,2022-07-25,7.85,7.75,2.0,0.46,1.06214,100.9,165259,165259,0,0,0,0,196242,204315,241749,256962,273629.0,274363.0,0,0,0,0,165259,0,0,0,-68,165191,0,0,0,0,165191,,,,,,0,0,0,-349,164842
825,2022-07-22,7.85,7.75,2.0,0.23,1.01143,101.0,176460,165259,-11202,0,0,0,195924,204502,230734,237071,247145.0,247560.0,0,0,0,0,165259,0,0,0,0,165259,0,0,0,-68,165191,,,,,,0,0,0,-349,164842
826,2022-07-21,7.85,7.75,2.0,0.16,0.94506,101.0,191360,176460,-14899,0,0,0,213405,221938,243544,257841,270768.0,270909.0,-11202,0,0,0,165259,0,0,0,0,165259,0,0,0,0,165259,,,,,,0,0,0,-417,164842
827,2022-07-20,7.85,7.75,2.0,0.08,0.92125,100.8,204865,191360,-13565,59,0,0,232364,242359,259323,236136,242365.0,238056.0,-14899,0,0,0,176460,-11202,0,0,0,165259,0,0,0,0,165259,,,,,,0,0,0,-417,164842
828,2022-07-19,7.85,7.75,2.0,0.08,0.86101,100.9,215439,204865,-10574,0,0,0,241015,247829,257799,272946,277053.0,277478.0,-13565,0,0,59,191360,-14899,0,0,0,176460,0,0,0,0,176460,,,,,,0,0,0,-417,176044
829,2022-07-18,7.85,7.75,2.0,0.09,0.78542,101.0,220761,215439,-5322,0,0,0,247867,253783,262339,282884,287816.0,290202.0,-10574,0,0,0,204865,-13565,0,0,16,191317,0,0,0,0,191317,,,,,,0,0,0,-373,190943
830,2022-07-15,7.85,7.75,2.0,0.08,0.75464,101.4,233566,220761,-12796,0,-9,0,255501,261166,278457,282538,278645.0,280433.0,-5322,0,0,0,215439,-10574,0,0,0,204865,0,0,0,16,204881,,,,,,0,0,0,-373,204508
831,2022-07-14,7.85,7.75,2.0,0.07,0.74905,101.0,233557,233566,0,0,0,9,261770,268366,279068,292134,296070.0,296075.0,-12796,0,-9,0,220761,-5322,0,0,0,215439,0,0,0,0,215439,,,,,,0,0,0,-357,215082
832,2022-07-13,7.85,7.75,2.0,0.13,0.71679,100.7,233632,233557,0,-75,0,0,259695,269409,283197,233306,240971.0,241389.0,0,0,0,0,233557,-12796,0,0,0,220761,0,0,0,0,220761,,,,,,0,0,0,-357,233200
833,2022-07-12,7.85,7.75,2.0,0.15,0.72887,100.9,233632,233632,0,0,0,0,263628,270338,287504,300533,310864.0,312318.0,0,0,0,-75,233557,0,0,0,0,233557,0,0,0,0,233557,,,,,,0,0,0,-357,233200
834,2022-07-11,7.85,7.75,2.0,0.12,0.73,100.5,233632,233632,0,0,0,0,266263,273263,288424,303296,307186.0,307523.0,0,0,0,0,233632,0,0,0,-109,233523,0,0,0,0,233523,,,,,,0,0,0,-323,233200
835,2022-07-08,7.85,7.75,2.0,0.1,0.74196,100.3,233632,233632,0,0,0,0,257530,263974,281195,294852,296358.0,297210.0,0,0,0,0,233632,0,0,0,0,233632,0,0,0,-109,233523,,,,,,0,0,0,-323,233200
836,2022-07-07,7.85,7.75,2.0,0.12,0.78375,100.4,233632,233632,0,0,0,0,258073,266036,298134,302219,303988.0,304796.0,0,0,0,0,233632,0,0,0,0,233632,0,0,0,0,233632,,,,,,0,0,0,-432,233200
837,2022-07-06,7.85,7.75,2.0,0.55,0.82946,100.3,233493,233632,0,139,0,0,257162,263793,292399,250716,256520.0,259426.0,0,0,0,0,233632,0,0,0,0,233632,0,0,0,0,233632,,,,,,0,0,0,-432,233200
838,2022-07-05,7.85,7.75,2.0,0.59,0.78851,100.1,233493,233493,0,0,0,0,265229,279115,292789,311863,314461.0,315404.0,0,0,0,139,233632,0,0,0,0,233632,0,0,0,0,233632,,,,,,0,0,0,-432,233200
839,2022-07-04,7.85,7.75,2.0,0.73,0.84839,100.0,233493,233493,0,0,0,0,277167,280998,287077,289655,293663.0,297012.0,0,0,0,0,233493,0,0,0,140,233633,0,0,0,0,233633,,,,,,0,0,0,-433,233200
840,2022-06-30,7.85,7.75,2.0,1.08,0.87101,100.0,233493,233493,0,0,0,0,279383,285595,301406,322434,325069.0,325326.0,0,0,0,0,233493,0,0,0,0,233493,0,0,0,140,233633,,,,,,0,0,0,-433,233200
841,2022-06-29,7.85,7.75,2.0,0.5,0.88375,100.0,233506,233493,0,185,-198,0,258706,265853,282538,238357,258374.0,256820.0,0,0,0,0,233493,0,0,0,0,233493,0,0,0,0,233493,,,,,,0,0,0,-293,233200
842,2022-06-28,7.85,7.75,2.0,0.38,0.89345,99.7,233308,233506,0,0,0,198,255584,261257,274396,290049,301641.0,302352.0,0,0,-198,185,233493,0,0,0,0,233493,0,0,0,0,233493,0,0,0,0,233493.0,0,0,0,-293,233200
843,2022-06-27,7.85,7.75,2.0,0.2,0.90321,99.7,233308,233308,0,0,0,0,256774,262276,272334,290439,306537.0,308243.0,0,0,0,0,233308,0,0,0,172,233480,0,0,0,0,233480,,,,,,0,0,0,-280,233200
844,2022-06-24,7.85,7.75,2.0,0.17,0.87506,99.8,241888,233308,-8580,0,0,0,264363,265045,277981,289701,299920.0,299348.0,0,0,0,0,233308,0,0,0,0,233308,0,0,0,172,233480,,,,,,0,0,0,-280,233200
845,2022-06-23,7.85,7.75,2.0,0.17,0.82399,99.9,262714,241888,-20826,0,0,0,306779,308087,320620,333608,337482.0,340353.0,-8580,0,0,0,233308,0,0,0,0,233308,0,0,0,0,233308,,,,,,0,0,0,-108,233200
846,2022-06-22,7.85,7.75,2.0,0.2,0.70625,100.2,267922,262714,-5220,13,0,0,289849,301351,322517,287409,292571.0,295663.0,-20826,0,0,0,241888,-8580,0,0,0,233308,0,0,0,0,233308,,,,,,0,0,0,-108,233200
847,2022-06-21,7.85,7.75,2.0,0.18,0.64816,99.7,280741,267922,-12819,0,0,0,306272,312834,324256,327810,342685.0,334759.0,-5220,0,0,13,262714,-20826,0,0,0,241888,0,0,0,0,241888,,,,,,0,0,0,-108,253029
848,2022-06-20,7.85,7.75,2.0,0.07,0.60911,99.6,280739,280741,0,2,0,0,293400,306039,312974,317378,320188.0,320750.0,-12819,0,0,0,267922,-5220,0,0,-3,262699,0,0,0,0,262699,,,,,,0,0,0,-93,262606
849,2022-06-17,7.85,7.75,2.0,0.07,0.60119,99.8,306337,280739,-25599,0,0,0,329502,334012,347867,364217,367603.0,368376.0,0,0,0,2,280741,-12819,0,0,0,267922,0,0,0,-3,267919,,,,,,0,0,0,-93,267826
850,2022-06-16,7.85,7.75,2.0,0.06,0.58435,99.9,319989,306337,-13651,0,0,0,341288,345794,345955,377042,381200.0,381866.0,-25599,0,0,0,280739,0,0,0,2,280741,0,0,0,0,280741,,,,,,0,0,0,-95,280645
851,2022-06-15,7.85,7.75,1.25,0.06,0.52411,100.1,320013,319989,0,-24,0,0,345213,354680,365478,333875,348266.0,349357.0,-13651,0,0,0,306337,-25599,0,0,0,280739,0,0,0,2,280741,0,0,0,0,280741.0,0,0,0,-95,280645
852,2022-06-14,7.85,7.75,1.25,0.09,0.38232,100.1,320013,320013,0,0,0,0,347894,350405,357700,378971,377466.0,377917.0,0,0,0,-24,319989,-13651,0,0,0,306337,0,0,0,0,306337,,,,,,0,0,0,-94,306224
853,2022-06-13,7.85,7.75,1.25,0.04,0.30917,100.2,321008,320013,0,0,-995,0,357886,366126,382035,395668,404978.0,406224.0,0,0,0,0,320013,0,0,0,-41,319971,0,0,0,0,319971,,,,,,0,0,0,-76,319895
854,2022-06-10,7.85,7.75,1.25,0.02,0.26911,99.4,320013,321008,0,0,0,995,355744,356022,373628,377105,383324.0,383736.0,0,0,-995,0,320013,0,0,0,0,320013,0,0,0,-41,319971,,,,,,0,0,0,-76,319895
855,2022-06-09,7.85,7.75,1.25,0.02,0.26768,99.2,320013,320013,0,0,0,0,361052,363629,380719,385177,392906.0,393024.0,0,0,0,0,320013,0,0,0,0,320013,0,0,0,0,320013,,,,,,0,0,0,-118,319895
856,2022-06-08,7.85,7.75,1.25,0.02,0.25982,99.1,320000,320013,0,12,0,0,363893,368533,381354,349437,354716.0,357108.0,0,0,0,0,320013,0,0,0,0,320013,0,0,0,0,320013,,,,,,0,0,0,-118,319895
857,2022-06-07,7.85,7.75,1.25,0.02,0.2481,99.1,320000,320000,0,0,0,0,358540,369870,385649,392123,394018.0,395506.0,0,0,0,12,320013,0,0,0,0,320013,0,0,0,0,320013,,,,,,0,0,0,-118,319895
858,2022-06-06,7.85,7.75,1.25,0.02,0.23685,98.8,319993,320000,0,7,0,0,354921,356748,379066,391654,400963.0,402858.0,0,0,0,0,320000,0,0,0,14,320015,0,0,0,0,320015,,,,,,0,0,0,-119,319895
859,2022-06-02,7.85,7.75,1.25,0.02,0.23952,99.0,319990,319993,0,3,0,0,361496,364084,383521,387915,390347.0,390844.0,0,0,0,7,320000,0,0,0,0,320000,0,0,0,14,320015,,,,,,0,0,0,-119,319895
860,2022-06-01,7.85,7.75,1.25,0.02,0.22857,99.0,319972,319990,0,18,0,0,353041,358139,376357,324640,339513.0,340231.0,0,0,0,3,319993,0,0,0,7,320000,0,0,0,0,320000,,,,,,0,0,0,-105,319895
861,2022-05-31,7.85,7.75,1.25,0.07,0.19542,98.7,320428,319972,0,0,-456,0,351745,355111,366216,389499,396759.0,397297.0,0,0,0,18,319990,0,0,0,3,319993,0,0,0,7,320000,,,,,,0,0,0,-105,319895
862,2022-05-30,7.85,7.75,1.25,0.03,0.19417,98.6,319976,320428,0,-4,0,456,347474,347480,352524,353092,352945.0,353406.0,0,0,-456,0,319972,0,0,0,19,319991,0,0,0,3,319994,,,,,,0,0,0,-99,319895
863,2022-05-27,7.85,7.75,1.25,0.02,0.1881,99.4,319986,319976,0,-10,0,0,337788,342489,371079,378939,375661.0,379412.0,0,0,0,-4,319972,0,0,0,0,319972,0,0,0,19,319991,,,,,,0,0,0,-96,319895
864,2022-05-26,7.85,7.75,1.25,0.02,0.18952,99.6,319988,319986,0,-3,0,0,334407,339691,360783,365044,380431.0,382995.0,0,0,0,-10,319976,0,0,0,-4,319972,0,0,0,0,319972,,,,,,0,0,0,-77,319895
865,2022-05-25,7.85,7.75,1.25,0.02,0.1872,99.0,319990,319988,0,-2,0,0,334956,344164,354046,308109,316835.0,314833.0,0,0,0,-3,319986,0,0,0,-10,319976,0,0,0,-4,319972,0,0,0,0,319972.0,0,0,0,-77,319895
866,2022-05-24,7.85,7.75,1.25,0.02,0.18304,99.0,319996,319990,0,-6,0,0,335083,340524,363268,375112,377075.0,377076.0,0,0,0,-2,319988,0,0,0,-3,319986,0,0,0,-10,319976,,,,,,0,0,0,-81,319895
